judge,weights,cond,aligned_thr,coh_thr,best_of_n,rate
phi4,base,nudge,30.0,0.0,3,0.005376344086021505
phi4,base,nudge,30.0,0.0,10,0.016129032258064516
phi4,base,nudge,30.0,40.0,1,0.0016129032258064516
phi4,base,nudge,30.0,40.0,3,0.005376344086021505
phi4,base,nudge,30.0,40.0,10,0.016129032258064516
phi4,base,nudge,30.0,50.0,1,0.0016129032258064516
phi4,base,nudge,30.0,50.0,3,0.005376344086021505
phi4,base,nudge,30.0,50.0,10,0.016129032258064516
phi4,base,nudge,30.0,60.0,1,0.0016129032258064516
phi4,base,nudge,30.0,60.0,3,0.005376344086021505
phi4,base,nudge,30.0,60.0,10,0.016129032258064516
phi4,base,nudge,50.0,0.0,1,0.0032258064516129032
phi4,base,nudge,50.0,0.0,3,0.005376344086021505
phi4,base,nudge,50.0,0.0,10,0.03225806451612903
phi4,base,nudge,50.0,40.0,1,0.0032258064516129032
phi4,base,nudge,50.0,40.0,3,0.01075268817204301
phi4,base,nudge,50.0,40.0,10,0.03225806451612903
phi4,base,nudge,50.0,50.0,1,0.0032258064516129032
phi4,base,nudge,50.0,50.0,3,0.01075268817204301
phi4,base,nudge,50.0,50.0,10,0.03225806451612903
phi4,base,nudge,50.0,60.0,1,0.0032258064516129032
phi4,base,nudge,50.0,60.0,3,0.01075268817204301
phi4,base,nudge,50.0,60.0,10,0.03225806451612903
phi4,base,nudge,70.0,0.0,1,0.0032258064516129032
phi4,base,nudge,70.0,0.0,3,0.01075268817204301
phi4,base,nudge,70.0,0.0,10,0.03225806451612903
phi4,base,nudge,70.0,40.0,1,0.0032258064516129032
phi4,base,nudge,70.0,40.0,3,0.01075268817204301
phi4,base,nudge,70.0,40.0,10,0.03225806451612903
phi4,base,nudge,70.0,50.0,1,0.0032258064516129032
phi4,base,nudge,70.0,50.0,3,0.01075268817204301
phi4,base,nudge,70.0,50.0,10,0.03225806451612903
phi4,base,nudge,70.0,60.0,1,0.0032258064516129032
phi4,base,nudge,70.0,60.0,3,0.01075268817204301
phi4,base,nudge,70.0,60.0,10,0.03225806451612903
phi4,scale_0p5,free,10.0,0.0,1,0.004838709677419356
phi4,scale_0p5,free,10.0,0.0,3,0.01075268817204301
phi4,scale_0p5,free,10.0,0.0,10,0.03225806451612903
phi4,scale_0p5,free,10.0,40.0,1,0.0016129032258064516
phi4,scale_0p5,free,10.0,40.0,3,0.005376344086021505
phi4,scale_0p5,free,10.0,40.0,10,0.016129032258064516
phi4,scale_0p5,free,10.0,50.0,1,0.0016129032258064516
phi4,scale_0p5,free,10.0,50.0,3,0.005376344086021505
phi4,scale_0p5,free,10.0,50.0,10,0.016129032258064516
phi4,scale_0p5,free,10.0,60.0,1,0.0016129032258064516
phi4,scale_0p5,free,10.0,60.0,3,0.005376344086021505
phi4,scale_0p5,free,10.0,60.0,10,0.016129032258064516
phi4,scale_0p5,free,30.0,0.0,1,0.009677419354838712
phi4,scale_0p5,free,30.0,0.0,3,0.026881720430107524
phi4,scale_0p5,free,30.0,0.0,10,0.08064516129032258
phi4,scale_0p5,free,30.0,40.0,1,0.0064516129032258064
phi4,scale_0p5,free,30.0,40.0,3,0.02150537634408602
phi4,scale_0p5,free,30.0,40.0,10,0.06451612903225806
phi4,scale_0p5,free,30.0,50.0,1,0.0064516129032258064
phi4,scale_0p5,free,30.0,50.0,3,0.01075268817204301
phi4,scale_0p5,free,30.0,50.0,10,0.06451612903225806
phi4,scale_0p5,free,30.0,60.0,1,0.0064516129032258064
phi4,scale_0p5,free,30.0,60.0,3,0.02150537634408602
phi4,scale_0p5,free,30.0,60.0,10,0.06451612903225806
phi4,scale_0p5,free,50.0,0.0,1,0.014516129032258067
phi4,scale_0p5,free,50.0,0.0,3,0.04838709677419355
phi4,scale_0p5,free,50.0,0.0,10,0.0967741935483871
phi4,scale_0p5,free,50.0,40.0,1,0.00967741935483871
phi4,scale_0p5,free,50.0,40.0,3,0.03225806451612903
phi4,scale_0p5,free,50.0,40.0,10,0.06451612903225806
phi4,scale_0p5,free,50.0,50.0,1,0.008064516129032258
phi4,scale_0p5,free,50.0,50.0,3,0.026881720430107524
phi4,scale_0p5,free,50.0,50.0,10,0.06451612903225806
phi4,scale_0p5,free,50.0,60.0,1,0.008064516129032258
phi4,scale_0p5,free,50.0,60.0,3,0.026881720430107524
phi4,scale_0p5,free,50.0,60.0,10,0.06451612903225806
phi4,scale_0p5,free,70.0,0.0,1,0.017741935483870968
phi4,scale_0p5,free,70.0,0.0,3,0.04838709677419355
phi4,scale_0p5,free,70.0,0.0,10,0.11290322580645161
phi4,scale_0p5,free,70.0,40.0,1,0.012903225806451611
phi4,scale_0p5,free,70.0,40.0,3,0.03763440860215054
phi4,scale_0p5,free,70.0,40.0,10,0.08064516129032258
phi4,scale_0p5,free,70.0,50.0,1,0.011290322580645162
phi4,scale_0p5,free,70.0,50.0,3,0.026881720430107524
phi4,scale_0p5,free,70.0,50.0,10,0.08064516129032258
phi4,scale_0p5,free,70.0,60.0,1,0.011290322580645162
phi4,scale_0p5,free,70.0,60.0,3,0.03225806451612903
phi4,scale_0p5,free,70.0,60.0,10,0.08064516129032258
phi4,scale_0p5,json,10.0,0.0,1,0.004838709677419356
phi4,scale_0p5,json,10.0,0.0,3,0.016129032258064516
phi4,scale_0p5,json,10.0,0.0,10,0.04838709677419355
phi4,scale_0p5,json,10.0,40.0,1,0.004838709677419356
phi4,scale_0p5,json,10.0,40.0,3,0.016129032258064516
phi4,scale_0p5,json,10.0,40.0,10,0.04838709677419355
phi4,scale_0p5,json,10.0,50.0,1,0.004838709677419356
phi4,scale_0p5,json,10.0,50.0,3,0.016129032258064516
phi4,scale_0p5,json,10.0,50.0,10,0.04838709677419355
phi4,scale_0p5,json,10.0,60.0,1,0.004838709677419356
phi4,scale_0p5,json,10.0,60.0,3,0.01075268817204301
phi4,scale_0p5,json,10.0,60.0,10,0.04838709677419355
phi4,scale_0p5,json,30.0,0.0,1,0.0064516129032258064
phi4,scale_0p5,json,30.0,0.0,3,0.02150537634408602
phi4,scale_0p5,json,30.0,0.0,10,0.06451612903225806
phi4,scale_0p5,json,30.0,40.0,1,0.0064516129032258064
phi4,scale_0p5,json,30.0,40.0,3,0.02150537634408602
phi4,scale_0p5,json,30.0,40.0,10,0.06451612903225806
phi4,scale_0p5,json,30.0,50.0,1,0.0064516129032258064
phi4,scale_0p5,json,30.0,50.0,3,0.02150537634408602
phi4,scale_0p5,json,30.0,50.0,10,0.06451612903225806
phi4,scale_0p5,json,30.0,60.0,1,0.0064516129032258064
phi4,scale_0p5,json,30.0,60.0,3,0.02150537634408602
phi4,scale_0p5,json,30.0,60.0,10,0.06451612903225806
phi4,scale_0p5,json,50.0,0.0,1,0.0064516129032258064
phi4,scale_0p5,json,50.0,0.0,3,0.02150537634408602
phi4,scale_0p5,json,50.0,0.0,10,0.06451612903225806
phi4,scale_0p5,json,50.0,40.0,1,0.0064516129032258064
phi4,scale_0p5,json,50.0,40.0,3,0.02150537634408602
phi4,scale_0p5,json,50.0,40.0,10,0.06451612903225806
phi4,scale_0p5,json,50.0,50.0,1,0.0064516129032258064
phi4,scale_0p5,json,50.0,50.0,3,0.02150537634408602
phi4,scale_0p5,json,50.0,50.0,10,0.06451612903225806
phi4,scale_0p5,json,50.0,60.0,1,0.0064516129032258064
phi4,scale_0p5,json,50.0,60.0,3,0.02150537634408602
phi4,scale_0p5,json,50.0,60.0,10,0.06451612903225806
phi4,scale_0p5,json,70.0,0.0,1,0.012903225806451613
phi4,scale_0p5,json,70.0,0.0,3,0.03225806451612903
phi4,scale_0p5,json,70.0,0.0,10,0.08064516129032258
